Term	odds_ratio	Category	SampleID	CpGType	pvalue	EnrichType	-log10(Pval)
8	 1.062	nFlankCG	Clark2018_Argelaguet2019	Negative	2.51e-08	Enrich	26.0
SIRT1	 1.035	TFBS	Clark2018_Argelaguet2019	Negative	3.34e-08	Enrich	26.0
PAX6	 1.048	TFBSrm	Clark2018_Argelaguet2019	Negative	5.55e-08	Enrich	26.0
STAG2	 1.057	TFBS	Clark2018_Argelaguet2019	Negative	6.24e-08	Enrich	26.0
NFYC	 1.141	TFBSrm	Clark2018_Argelaguet2019	Negative	7.69e-08	Enrich	26.0
OTX2	 1.040	TFBSrm	Clark2018_Argelaguet2019	Negative	9.38e-08	Enrich	26.0
H3K122ac	 1.028	HM	Clark2018_Argelaguet2019	Negative	1.08e-07	Enrich	26.0
Het	 1.061	ChromHMM	Clark2018_Argelaguet2019	Negative	2.02e-07	Enrich	26.0
MBD1	 1.070	TFBS	Clark2018_Argelaguet2019	Negative	2.95e-07	Enrich	26.0
RORC	 1.038	TFBSrm	Clark2018_Argelaguet2019	Negative	3.19e-07	Enrich	26.0
OTX2	 1.031	TFBS	Clark2018_Argelaguet2019	Negative	3.44e-07	Enrich	26.0
KMT2B	 1.023	TFBSrm	Clark2018_Argelaguet2019	Negative	4.43e-07	Enrich	26.0
JUND	 1.038	TFBS	Clark2018_Argelaguet2019	Negative	4.44e-07	Enrich	26.0
Tx	 1.029	ChromHMM	Clark2018_Argelaguet2019	Negative	4.58e-07	Enrich	26.0
GATA6	 1.066	TFBS	Clark2018_Argelaguet2019	Negative	6.59e-07	Enrich	26.0
SATB2	 1.279	TFBS	Clark2018_Argelaguet2019	Negative	7.81e-07	Enrich	26.0
CEBPE	 1.041	TFBSrm	Clark2018_Argelaguet2019	Negative	7.89e-07	Enrich	26.0
Alu	 1.032	rmsk2	Clark2018_Argelaguet2019	Negative	1.08e-06	Enrich	26.0
Enh	 1.064	ChromHMM	Clark2018_Argelaguet2019	Negative	1.18e-06	Enrich	26.0
RBPJ	 1.037	TFBS	Clark2018_Argelaguet2019	Negative	1.55e-06	Enrich	26.0
ZBTB16	 1.055	TFBS	Clark2018_Argelaguet2019	Negative	1.56e-06	Enrich	26.0
FAIRE	 1.037	TFBS	Clark2018_Argelaguet2019	Negative	1.61e-06	Enrich	26.0
NELFA	 1.040	TFBS	Clark2018_Argelaguet2019	Negative	2.01e-06	Enrich	26.0
TssFlnk	 1.056	ChromHMM	Clark2018_Argelaguet2019	Negative	2.37e-06	Enrich	26.0
NR1D1	 1.041	TFBSrm	Clark2018_Argelaguet2019	Negative	2.52e-06	Enrich	26.0
FOXA2	 1.024	TFBSrm	Clark2018_Argelaguet2019	Negative	2.77e-06	Enrich	26.0
ASCL1	 1.036	TFBS	Clark2018_Argelaguet2019	Negative	2.97e-06	Enrich	26.0
PTF1A	 1.035	TFBSrm	Clark2018_Argelaguet2019	Negative	3.31e-06	Enrich	26.0
SRF	 1.029	TFBS	Clark2018_Argelaguet2019	Negative	3.64e-06	Enrich	26.0
H3K36me3	 1.048	HM	Clark2018_Argelaguet2019	Negative	3.65e-06	Enrich	26.0
CTCF	 1.048	TFBSrm	Clark2018_Argelaguet2019	Negative	4.21e-06	Enrich	26.0
ZBTB17	 1.035	TFBSrm	Clark2018_Argelaguet2019	Negative	4.87e-06	Enrich	26.0
PRDM9	 1.037	TFBSrm	Clark2018_Argelaguet2019	Negative	6.62e-06	Enrich	26.0
CREB1	 1.035	TFBS	Clark2018_Argelaguet2019	Negative	6.79e-06	Enrich	26.0
MAFK	 1.031	TFBSrm	Clark2018_Argelaguet2019	Negative	6.82e-06	Enrich	26.0
FOXA1	 1.037	TFBS	Clark2018_Argelaguet2019	Negative	6.87e-06	Enrich	26.0
NKX2-2	 1.041	TFBSrm	Clark2018_Argelaguet2019	Negative	7.62e-06	Enrich	26.0
RCOR1	 1.033	TFBS	Clark2018_Argelaguet2019	Negative	8.09e-06	Enrich	26.0
RORA	 1.048	TFBSrm	Clark2018_Argelaguet2019	Negative	8.67e-06	Enrich	26.0
STIL	 1.132	TFBSrm	Clark2018_Argelaguet2019	Negative	9.21e-06	Enrich	26.0
ERG	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	9.86e-06	Enrich	26.0
KAT2B	 1.032	TFBS	Clark2018_Argelaguet2019	Negative	1.16e-05	Enrich	26.0
RXRA	 1.034	TFBS	Clark2018_Argelaguet2019	Negative	1.23e-05	Enrich	26.0
NEUROG2	 1.024	TFBS	Clark2018_Argelaguet2019	Negative	1.37e-05	Enrich	26.0
FOXK1	 1.072	TFBSrm	Clark2018_Argelaguet2019	Negative	1.62e-05	Enrich	26.0
CHD2	 1.035	TFBS	Clark2018_Argelaguet2019	Negative	1.86e-05	Enrich	26.0
PTF1A	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	2.1e-05	Enrich	26.0
NANOG	 1.034	TFBS	Clark2018_Argelaguet2019	Negative	2.17e-05	Enrich	26.0
NFE2L2	 1.036	TFBS	Clark2018_Argelaguet2019	Negative	2.17e-05	Enrich	26.0
CCGG	 1.020	Tetranuc4	Clark2018_Argelaguet2019	Negative	2.19e-05	Enrich	26.0
MSX1	 1.097	TFBS	Clark2018_Argelaguet2019	Negative	2.27e-05	Enrich	26.0
TBP	 1.042	TFBSrm	Clark2018_Argelaguet2019	Negative	2.36e-05	Enrich	26.0
PRDM13	 1.036	TFBS	Clark2018_Argelaguet2019	Negative	2.42e-05	Enrich	26.0
DMC1	 1.032	TFBS	Clark2018_Argelaguet2019	Negative	2.54e-05	Enrich	26.0
8	 1.020	MetagenePC	Clark2018_Argelaguet2019	Negative	2.86e-05	Enrich	26.0
DLX5	 1.027	TFBS	Clark2018_Argelaguet2019	Negative	3.42e-05	Enrich	26.0
CHD2	 1.070	TFBSrm	Clark2018_Argelaguet2019	Negative	3.78e-05	Enrich	26.0
CCGC	 1.016	Tetranuc4	Clark2018_Argelaguet2019	Negative	3.99e-05	Enrich	26.0
NFYA	 1.063	TFBS	Clark2018_Argelaguet2019	Negative	4.34e-05	Enrich	26.0
PRDM13	 1.032	TFBSrm	Clark2018_Argelaguet2019	Negative	4.41e-05	Enrich	26.0
MAFG	 1.037	TFBS	Clark2018_Argelaguet2019	Negative	4.49e-05	Enrich	26.0
MAZ	 1.027	TFBS	Clark2018_Argelaguet2019	Negative	4.51e-05	Enrich	26.0
GATA6	 1.028	TFBSrm	Clark2018_Argelaguet2019	Negative	4.64e-05	Enrich	26.0
HCFC1	 1.032	TFBS	Clark2018_Argelaguet2019	Negative	5.23e-05	Enrich	26.0
CDX2	 1.025	TFBSrm	Clark2018_Argelaguet2019	Negative	5.66e-05	Enrich	26.0
RBPJ	 1.027	TFBSrm	Clark2018_Argelaguet2019	Negative	5.86e-05	Enrich	26.0
NELFE	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	6.1e-05	Enrich	26.0
H2AFX	 1.032	TFBS	Clark2018_Argelaguet2019	Negative	6.55e-05	Enrich	26.0
-2	 1.039	MetagenePC	Clark2018_Argelaguet2019	Negative	7e-05	Enrich	26.0
ZC3H11A	 1.090	TFBSrm	Clark2018_Argelaguet2019	Negative	8.35e-05	Enrich	26.0
TxWk	 1.022	ChromHMM	Clark2018_Argelaguet2019	Negative	8.66e-05	Enrich	26.0
9	 1.048	nFlankCG	Clark2018_Argelaguet2019	Negative	8.92e-05	Enrich	26.0
CEBPE	 1.039	TFBS	Clark2018_Argelaguet2019	Negative	9.14e-05	Enrich	26.0
HDAC3	 1.037	TFBSrm	Clark2018_Argelaguet2019	Negative	9.17e-05	Enrich	26.0
SIX4	 1.021	TFBS	Clark2018_Argelaguet2019	Negative	9.56e-05	Enrich	26.0
NRF1	 1.029	TFBS	Clark2018_Argelaguet2019	Negative	9.71e-05	Enrich	26.0
NCAPD3	 1.038	TFBS	Clark2018_Argelaguet2019	Negative	9.86e-05	Enrich	26.0
MECP2	 1.025	TFBS	Clark2018_Argelaguet2019	Negative	9.94e-05	Enrich	26.0
MBD4	 1.271	TFBS	Clark2018_Argelaguet2019	Negative	0.000105	Enrich	26.0
NANOG	 1.033	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000108	Enrich	26.0
STAT1	 1.038	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00011	Enrich	26.0
E2F4	 1.033	TFBS	Clark2018_Argelaguet2019	Negative	0.000112	Enrich	26.0
YY1	 1.031	TFBS	Clark2018_Argelaguet2019	Negative	0.000113	Enrich	26.0
RORC	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.00012	Enrich	26.0
NRF1	 1.033	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000133	Enrich	26.0
commonHMD	 1.010	PMD	Clark2018_Argelaguet2019	Negative	0.000143	Enrich	26.0
ESR2	 1.031	TFBS	Clark2018_Argelaguet2019	Negative	0.000155	Enrich	26.0
H3S28ph	 1.033	TFBS	Clark2018_Argelaguet2019	Negative	0.000156	Enrich	26.0
ZNF384	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.000158	Enrich	26.0
CHAF1A	 1.056	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000162	Enrich	26.0
SMAD1	 1.060	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000165	Enrich	26.0
POU2F1	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	0.000165	Enrich	26.0
MAX	 1.021	TFBS	Clark2018_Argelaguet2019	Negative	0.000165	Enrich	26.0
RAD23B	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.000166	Enrich	26.0
TFAP2C	 1.017	TFBS	Clark2018_Argelaguet2019	Negative	0.000166	Enrich	26.0
FOXF1	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	0.000172	Enrich	26.0
NFIB	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.000179	Enrich	26.0
POLR3A	 1.067	TFBS	Clark2018_Argelaguet2019	Negative	0.000191	Enrich	26.0
PROX1	 1.029	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000205	Enrich	26.0
Enhancer	 1.026	EnsRegBuild	Clark2018_Argelaguet2019	Negative	0.000211	Enrich	26.0
OLIG2	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.000225	Enrich	26.0
FOXA2	 1.024	TFBS	Clark2018_Argelaguet2019	Negative	0.000235	Enrich	26.0
PROX1	 1.040	TFBS	Clark2018_Argelaguet2019	Negative	0.000237	Enrich	26.0
ETS1	 1.031	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00024	Enrich	26.0
CBFA2T2	 1.128	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00027	Enrich	26.0
MYB	 1.035	TFBS	Clark2018_Argelaguet2019	Negative	0.000281	Enrich	26.0
XBP1	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.000282	Enrich	26.0
ZFAT	 1.118	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000305	Enrich	26.0
HOXB4	 1.042	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000331	Enrich	26.0
HAND2	 1.053	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00036	Enrich	26.0
FOS	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	0.000394	Enrich	26.0
JMJD6	 1.057	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000395	Enrich	26.0
4	 1.017	MetagenePC	Clark2018_Argelaguet2019	Negative	0.0004	Enrich	26.0
FGFR1	 1.025	TFBS	Clark2018_Argelaguet2019	Negative	0.000406	Enrich	26.0
TRP63	 1.035	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000407	Enrich	26.0
ZC3H11A	 1.039	TFBS	Clark2018_Argelaguet2019	Negative	0.000441	Enrich	26.0
ELF5	 1.028	TFBS	Clark2018_Argelaguet2019	Negative	0.000444	Enrich	26.0
PKNOX1	 1.045	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000453	Enrich	26.0
CREB1	 1.032	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000464	Enrich	26.0
MYB	 1.034	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000479	Enrich	26.0
CTCF	 1.027	TFBS	Clark2018_Argelaguet2019	Negative	0.000488	Enrich	26.0
MEIS1	 1.025	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00049	Enrich	26.0
JUNB	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.000536	Enrich	26.0
BHLHE40	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.000546	Enrich	26.0
ARID3A	 1.025	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000559	Enrich	26.0
ETS2	 1.022	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000636	Enrich	26.0
DNMT3B	 1.036	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000698	Enrich	26.0
ASCL2	 1.023	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000715	Enrich	26.0
CEBPB	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.000743	Enrich	26.0
KAT2A	 1.030	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000779	Enrich	26.0
FLI1	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.0008	Enrich	26.0
SPI1	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.000807	Enrich	26.0
NOTCH1	 1.019	TFBS	Clark2018_Argelaguet2019	Negative	0.000814	Enrich	26.0
HNF1B-ESRRG	 1.038	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000829	Enrich	26.0
NFE2	 1.081	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000855	Enrich	26.0
H3K9me1	 1.030	HM	Clark2018_Argelaguet2019	Negative	0.00088	Enrich	26.0
SOX9	 1.019	TFBS	Clark2018_Argelaguet2019	Negative	0.000906	Enrich	26.0
RBFOX2	 1.018	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000951	Enrich	26.0
JMJD6	 1.054	TFBS	Clark2018_Argelaguet2019	Negative	0.000977	Enrich	26.0
SPI1	 1.032	TFBSrm	Clark2018_Argelaguet2019	Negative	0.000981	Enrich	26.0
-1	 1.037	MetagenePC	Clark2018_Argelaguet2019	Negative	0.000982	Enrich	26.0
HNF4A	 1.018	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00101	Enrich	26.0
CTCFL	 1.073	TFBS	Clark2018_Argelaguet2019	Negative	0.00103	Enrich	26.0
OpenSea	 1.012	CGI	Clark2018_Argelaguet2019	Negative	0.00109	Enrich	26.0
KDM6B	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.00111	Enrich	26.0
16	 1.013	MetagenePC	Clark2018_Argelaguet2019	Negative	0.00112	Enrich	26.0
NPAS4	 1.076	TFBS	Clark2018_Argelaguet2019	Negative	0.0012	Enrich	26.0
TWIST2	 1.028	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00122	Enrich	26.0
CRTC2	 1.038	TFBS	Clark2018_Argelaguet2019	Negative	0.00136	Enrich	26.0
MLLT3	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.00147	Enrich	26.0
TEAD4	 1.022	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00148	Enrich	26.0
ERG	 1.024	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00149	Enrich	26.0
ADNP	 1.037	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00149	Enrich	26.0
USF2	 1.089	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00152	Enrich	26.0
Tbr2	 1.073	TFBS	Clark2018_Argelaguet2019	Negative	0.00152	Enrich	26.0
NCOR2	 1.026	TFBS	Clark2018_Argelaguet2019	Negative	0.00153	Enrich	26.0
ELF1	 1.029	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00155	Enrich	26.0
TBX21	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.00158	Enrich	26.0
GATA2	 1.038	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00159	Enrich	26.0
ZMIZ1	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.00162	Enrich	26.0
CEBPA	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.00188	Enrich	26.0
DMC1	 1.019	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00194	Enrich	26.0
E4F1	 1.219	TFBS	Clark2018_Argelaguet2019	Negative	0.00196	Enrich	26.0
RARA	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.00198	Enrich	26.0
ESRRB	 1.020	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00202	Enrich	26.0
SRC	 1.020	TFBS	Clark2018_Argelaguet2019	Negative	0.00209	Enrich	26.0
ASH1L	 1.304	TFBS	Clark2018_Argelaguet2019	Negative	0.00211	Enrich	26.0
H3K9me3	 1.031	HM	Clark2018_Argelaguet2019	Negative	0.00214	Enrich	26.0
SMAD1_5	 1.086	TFBS	Clark2018_Argelaguet2019	Negative	0.00238	Enrich	26.0
STAT6	 1.024	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00242	Enrich	26.0
FOSL2	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.00253	Enrich	26.0
RXRA	 1.018	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00256	Enrich	26.0
USF1	 1.033	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00257	Enrich	26.0
ZFPM1	 1.072	TFBS	Clark2018_Argelaguet2019	Negative	0.00277	Enrich	26.0
CRY2	 1.069	TFBS	Clark2018_Argelaguet2019	Negative	0.00285	Enrich	26.0
EP300	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.00285	Enrich	26.0
TFbindingsite	 1.046	EnsRegBuild	Clark2018_Argelaguet2019	Negative	0.00294	Enrich	26.0
CEBPD	 1.029	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00296	Enrich	26.0
CREBBP	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.00308	Enrich	26.0
CRY1	 1.052	TFBS	Clark2018_Argelaguet2019	Negative	0.00351	Enrich	26.0
FOXP3	 1.021	TFBS	Clark2018_Argelaguet2019	Negative	0.00358	Enrich	26.0
KDM6B	 1.018	TFBSrm	Clark2018_Argelaguet2019	Negative	0.0036	Enrich	26.0
MBD2	 1.014	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00367	Enrich	26.0
TAF9B	 1.046	TFBS	Clark2018_Argelaguet2019	Negative	0.00369	Enrich	26.0
SOX3	 1.034	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00382	Enrich	26.0
2	 1.009	nFlankCG	Clark2018_Argelaguet2019	Negative	0.00392	Enrich	26.0
PKNOX1	 1.040	TFBS	Clark2018_Argelaguet2019	Negative	0.00398	Enrich	26.0
SALL1	 1.214	TFBS	Clark2018_Argelaguet2019	Negative	0.004	Enrich	26.0
ATF7	 1.043	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00409	Enrich	26.0
NR1D1	 1.020	TFBS	Clark2018_Argelaguet2019	Negative	0.0041	Enrich	26.0
STAT1	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.00411	Enrich	26.0
10	 1.038	nFlankCG	Clark2018_Argelaguet2019	Negative	0.00422	Enrich	26.0
FOXG1	 1.065	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00426	Enrich	26.0
GATA1	 1.023	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00429	Enrich	26.0
OVOL2	 1.110	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00435	Enrich	26.0
FOXA1	 1.025	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00475	Enrich	26.0
ATF2	 1.034	TFBS	Clark2018_Argelaguet2019	Negative	0.00487	Enrich	26.0
ZFP414	 1.051	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00495	Enrich	26.0
E4F1	 1.203	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00503	Enrich	26.0
TCF12	 1.018	TFBS	Clark2018_Argelaguet2019	Negative	0.00509	Enrich	26.0
NKX2-5	 1.020	TFBS	Clark2018_Argelaguet2019	Negative	0.00509	Enrich	26.0
TcMar-Mariner	 1.391	rmsk2	Clark2018_Argelaguet2019	Negative	0.00522	Enrich	26.0
7	 1.013	MetagenePC	Clark2018_Argelaguet2019	Negative	0.00537	Enrich	26.0
NIPBL	 1.016	TFBS	Clark2018_Argelaguet2019	Negative	0.00543	Enrich	26.0
VDR	 1.023	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00551	Enrich	26.0
KLF3	 1.023	TFBS	Clark2018_Argelaguet2019	Negative	0.00562	Enrich	26.0
STAT4	 1.026	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00576	Enrich	26.0
ZFP322A	 1.180	TFBSrm	Clark2018_Argelaguet2019	Negative	0.006	Enrich	26.0
9	 1.013	MetagenePC	Clark2018_Argelaguet2019	Negative	0.00601	Enrich	26.0
RARA	 1.019	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00608	Enrich	26.0
SP1	 1.018	TFBS	Clark2018_Argelaguet2019	Negative	0.00611	Enrich	26.0
BATF	 1.023	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00627	Enrich	26.0
FOXA1-2	 1.033	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00642	Enrich	26.0
-9	 1.007	MetagenePC	Clark2018_Argelaguet2019	Negative	0.00664	Enrich	26.0
TFE3	 1.036	TFBS	Clark2018_Argelaguet2019	Negative	0.00668	Enrich	26.0
MAFG	 1.029	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00686	Enrich	26.0
EnhPr	 1.038	ChromHMM	Clark2018_Argelaguet2019	Negative	0.00692	Enrich	26.0
5	 1.012	MetagenePC	Clark2018_Argelaguet2019	Negative	0.00694	Enrich	26.0
KCR	 1.015	TFBS	Clark2018_Argelaguet2019	Negative	0.00716	Enrich	26.0
H4R3me2	 1.024	HM	Clark2018_Argelaguet2019	Negative	0.00731	Enrich	26.0
NKX3-1	 1.029	TFBSrm	Clark2018_Argelaguet2019	Negative	0.0075	Enrich	26.0
TLX1	 1.111	TFBS	Clark2018_Argelaguet2019	Negative	0.00761	Enrich	26.0
RCOR1	 1.047	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00779	Enrich	26.0
FOXO3	 1.098	TFBS	Clark2018_Argelaguet2019	Negative	0.00789	Enrich	26.0
SMAD3	 1.015	TFBS	Clark2018_Argelaguet2019	Negative	0.00812	Enrich	26.0
HNF1B	 1.049	TFBSrm	Clark2018_Argelaguet2019	Negative	0.0082	Enrich	26.0
FOXP1	 1.024	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00824	Enrich	26.0
NR1H	 1.018	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00876	Enrich	26.0
TAF12	 1.019	TFBS	Clark2018_Argelaguet2019	Negative	0.00885	Enrich	26.0
PITX1	 1.020	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00915	Enrich	26.0
NELFB	 1.022	TFBS	Clark2018_Argelaguet2019	Negative	0.00917	Enrich	26.0
DGCR8	 1.050	TFBSrm	Clark2018_Argelaguet2019	Negative	0.00924	Enrich	26.0
RFX1	 1.019	TFBSrm	Clark2018_Argelaguet2019	Negative	0.0093	Enrich	26.0
THRB	 1.019	TFBS	Clark2018_Argelaguet2019	Negative	0.00945	Enrich	26.0
